Vote,2019.00,2020.00,2021.00,2022.00,2023.00,
"Agriculture, Biosecurity, Fisheries and Food Safety",965852.00,913390.00,895980.00,889231.00,1407031.00,
"Arts, Culture and Heritage",330579.00,385569.00,522661.00,541994.00,671283.00,
Attorney-General,68762.00,73318.00,79321.00,82152.00,123293.00,
Audit,94544.00,101381.00,113814.00,118001.00,148583.00,
Building and Construction,285408.00,112595.00,887256.00,914033.00,339005.00,
"Business, Science and Innovation",2620839.00,3342045.00,4626213.00,3392378.00,4280668.00,
Communications Security and Intelligence,129689.00,137000.00,161497.00,182441.00,234707.00,
Conservation,488490.00,555618.00,646380.00,689222.00,813193.00,
Corrections,2176944.00,2106761.00,2328261.00,2180828.00,2409800.00,
Courts,744263.00,791294.00,857831.00,878917.00,988642.00,
Customs,229437.00,246224.00,261611.00,283750.00,316091.00,
Defence,434624.00,297862.00,536851.00,810492.00,1042429.00,
Defence Force,3565928.00,6612113.00,3816283.00,4357811.00,4863911.00,
Education,12135774.00,12985969.00,14629228.00,15633629.00,16716904.00,
Education Review Office,29793.00,32858.00,35583.00,34616.00,43602.00,
Environment,707887.00,853257.00,1215770.00,1891043.00,2240242.00,
Finance,5596474.00,6634006.00,11380108.00,17605244.00,13844199.00,
Foreign Affairs,518380.00,524947.00,1413212.00,1501848.00,1650254.00,
Forestry,134764.00,161371.00,188677.00,149584.00,205727.00,
Health,17668731.00,19485848.00,21943037.00,26440027.00,27235296.00,
Housing and Urban Development,1136476.00,1683648.00,2258903.00,2417154.00,6736391.00,
Internal Affairs,685978.00,758281.00,1112685.00,1093678.00,1765007.00,
Justice,509294.00,591151.00,700809.00,588627.00,827013.00,
Labour Market,2000724.00,2086820.00,2429157.00,2651773.00,2930036.00,
Lands,293673.00,310699.00,330265.00,372461.00,498224.00,
M?ori Development,336080.00,432451.00,502990.00,716194.00,574539.00,
Office of the Clerk,21816.00,21234.00,22008.00,23418.00,28852.00,
Official Development Assistance (old),780223.00,814630.00,,,,
Ombudsmen,18166.00,23529.00,27124.00,32530.00,50840.00,
Oranga Tamariki,979957.00,1132695.00,1360799.00,1430260.00,1531307.00,
Pacific Peoples,11785.00,19996.00,49123.00,61030.00,85078.00,
Parliamentary Commissioner for the Environment,3559.00,3701.00,3544.00,4400.00,4556.00,
Parliamentary Counsel,20111.00,20518.00,19001.00,21527.00,28900.00,
Parliamentary Service,150021.00,167137.00,177458.00,168534.00,237305.00,
Pike River Re-entry (old),16050.00,17681.00,10574.00,3259.00,,
Police,2089647.00,2201720.00,2237275.00,2386386.00,2792347.00,
Prime Minister and Cabinet,107433.00,128645.00,117119.00,193691.00,620065.00,
Public Service,60577.00,60865.00,62241.00,65397.00,70054.00,
Revenue,6720953.00,11879241.00,14811299.00,19866146.00,17259080.00,
Security Intelligence,74178.00,90000.00,95166.00,91433.00,99830.00,
Serious Fraud,10390.00,9835.00,12334.00,14723.00,17097.00,
Social Development,25769287.00,40865327.00,33625852.00,39501795.00,39656407.00,
Social Housing (Old),722048.00,,,,,
Sport and Recreation,89303.00,97505.00,212868.00,146647.00,153674.00,
Statistics,160037.00,158215.00,188955.00,248095.00,411399.00,
Te Arawhiti,99656.00,62839.00,406181.00,288706.00,467769.00,
Tertiary Education,3299734.00,4575075.00,2732654.00,4013684.00,3944555.00,
Transport,4767829.00,5522805.00,6973605.00,7053670.00,10488067.00,
Women,5789.00,6354.00,8635.00,10127.00,13439.00,