Country Name,New Zealand
1960,2818149376.00
1961,2917775360.00
1962,3143524096.00
1963,3433923840.00
1964,3762478336.00
1965,4066656256.00
1966,4217161728.00
1967,4373687296.00
1968,4625532928.00
1969,5144274944.00
1970,5999637472.00
1971,6855000000.00
1972,7872000000.00
1973,9201000000.00
1974,10110000000.00
1975,11388000000.00
1976,13964000000.00
1977,15643000000.00
1978,17730000000.00
1979,20696000000.00
1980,24086000000.00
1981,29328000000.00
1982,33178000000.00
1983,36989000000.00
1984,41785000000.00
1985,48249000000.00
1986,57953000000.00
1987,65228000000.00
1988,70137000000.00
1989,74212000000.00
1990,76127000000.00
1991,75967000000.00
1992,78335000000.00
1993,84575000000.00
1994,90600000000.00
1995,96236000000.00
1996,101101000000.00
1997,104815000000.00
1998,106826000000.00
1999,113229000000.00
2000,119839000000.00
2001,128712000000.00
2002,135181000000.00
2003,144502000000.00
2004,154559000000.00
2005,162937000000.00
2006,172004000000.00
2007,186673000000.00
2008,189406000000.00
2009,194307000000.00
2010,203342000000.00
2011,213025000000.00
2012,217489000000.00
2013,232793000000.00
2014,242670000000.00
2015,255340000000.00
2016,271271000000.00
2017,290709000000.00
2018,306231000000.00
2019,323447000000.00
2020,327795000000.00
2021,361299000000.00
2022,389933428990.01
2023,411540000000.00